name,sku,price,qty,weight,meta_description,meta_keyword,meta_title,model_number
AMD Sempron 3000+ DeskTop CPU Socket 939 SDA3000DIO2BA SDA3000DIO2BI 1.8Ghz 128K,osst-20120504090543,9.5,30,51,AMD Sempron 3000+ DeskTop CPU Socket 939 SDA3000DIO2BA SDA3000DIO2BI 1.8Ghz 128K,AMD Sempron 3000+ DeskTop CPU Socket 939 SDA3000DIO2BA SDA3000DIO2BI 1.8Ghz 128K,AMD Sempron 3000+ DeskTop CPU Socket 939 SDA3000DIO2BA SDA3000DIO2BI 1.8Ghz 128K,Sempron 3000+ 
AMD Sempron 3000+ DeskTop CPU Socket 939 SDA3000DIO2BP SDA3000DIO2BW 1.8Ghz 128K,osst-20120504091109,9.5,30,51,AMD Sempron 3000+ DeskTop CPU Socket 939 SDA3000DIO2BP SDA3000DIO2BW 1.8Ghz 128K,AMD Sempron 3000+ DeskTop CPU Socket 939 SDA3000DIO2BP SDA3000DIO2BW 1.8Ghz 128K,AMD Sempron 3000+ DeskTop CPU Socket 939 SDA3000DIO2BP SDA3000DIO2BW 1.8Ghz 128K,Sempron 3000+ 
AMD Sempron 3200+ DeskTop CPU 939 SDA3200DIO3BI SDA3200DIO3BP SDA3200DIO3BW 1.8G,osst-20120504091344,12.5,30,51,AMD Sempron 3200+ DeskTop CPU 939 SDA3200DIO3BI SDA3200DIO3BP SDA3200DIO3BW 1.8G,AMD Sempron 3200+ DeskTop CPU 939 SDA3200DIO3BI SDA3200DIO3BP SDA3200DIO3BW 1.8G,AMD Sempron 3200+ DeskTop CPU 939 SDA3200DIO3BI SDA3200DIO3BP SDA3200DIO3BW 1.8G,Sempron 3200+ 
AMD Sempron 3400+ DeskTop CPU Socket 939 pin SDA3400DIO2BW 2GHz 128KB,osst-20120504091542,18.5,30,51,AMD Sempron 3400+ DeskTop CPU Socket 939 pin SDA3400DIO2BW 2GHz 128KB,AMD Sempron 3400+ DeskTop CPU Socket 939 pin SDA3400DIO2BW 2GHz 128KB,AMD Sempron 3400+ DeskTop CPU Socket 939 pin SDA3400DIO2BW 2GHz 128KB,Sempron 3400+ 
AMD Sempron 3500+ DeskTop CPU Socket 939 pin SDA3500DIO3BW 2GHz 256KB,osst-20120504091836,25,30,51,AMD Sempron 3500+ DeskTop CPU Socket 939 pin SDA3500DIO3BW 2GHz 256KB,AMD Sempron 3500+ DeskTop CPU Socket 939 pin SDA3500DIO3BW 2GHz 256KB,AMD Sempron 3500+ DeskTop CPU Socket 939 pin SDA3500DIO3BW 2GHz 256KB,Sempron 3500+ 
AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000DAA4BP ADA3000DAA4BW ADA3000BWBOX,osst-20120514032841,12.5,50,51,AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000DAA4BP ADA3000DAA4BW ADA3000BWBOX,AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000DAA4BP ADA3000DAA4BW ADA3000BWBOX,AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000DAA4BP ADA3000DAA4BW ADA3000BWBOX,Athlon 64 3000+
AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000AWBOX ADA3000BIBOX ADA3000BPBOX,osst-20120514032842,12.5,50,51,AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000AWBOX ADA3000BIBOX ADA3000BPBOX,AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000AWBOX ADA3000BIBOX ADA3000BPBOX,AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000AWBOX ADA3000BIBOX ADA3000BPBOX,Athlon 64 3000+
AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000DIK4BI ADA3000DEP4AW 1.8Ghz 512KB,osst-20120514032843,12.5,50,51,AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000DIK4BI ADA3000DEP4AW 1.8Ghz 512KB,AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000DIK4BI ADA3000DEP4AW 1.8Ghz 512KB,AMD Athlon 64 3000+ DeskTop CPU Socket 939 ADA3000DIK4BI ADA3000DEP4AW 1.8Ghz 512KB,Athlon 64 3000+
AMD Athlon 64 3200+ DeskTop CPU Socket 939 ADA3200DEP4AW ADA3200AWBOX ADA3200DAA4BP,osst-20120514032844,12.5,50,51,AMD Athlon 64 3200+ DeskTop CPU Socket 939 ADA3200DEP4AW ADA3200AWBOX ADA3200DAA4BP,AMD Athlon 64 3200+ DeskTop CPU Socket 939 ADA3200DEP4AW ADA3200AWBOX ADA3200DAA4BP,AMD Athlon 64 3200+ DeskTop CPU Socket 939 ADA3200DEP4AW ADA3200AWBOX ADA3200DAA4BP,Athlon 64 3200+
AMD Athlon 64 3200+ DeskTop CPU Socket 939 ADA3200BPBOX ADA3200DAA4BW ADA3200BWBOX,osst-20120514032845,12.5,50,51,AMD Athlon 64 3200+ DeskTop CPU Socket 939 ADA3200BPBOX ADA3200DAA4BW ADA3200BWBOX,AMD Athlon 64 3200+ DeskTop CPU Socket 939 ADA3200BPBOX ADA3200DAA4BW ADA3200BWBOX,AMD Athlon 64 3200+ DeskTop CPU Socket 939 ADA3200BPBOX ADA3200DAA4BW ADA3200BWBOX,Athlon 64 3200+
